[2024-01-23 23:28:52] [INFO] fed_avg
        n_client     :   9   
      n_train_data   : 1000  
       n_test_data   :  200  
          seed       : 10000 
      local_epochs   :  20   
     distill_epochs  :  10   
       batch_size    :  160  
      server_epochs  :  10   
          alpha      :  1.0  
         dataset     :cifar10
     model_structure :resnet18
[2024-01-23 23:28:53] [INFO] tensor([[    0.363,     0.030,     0.019,     0.200,     0.103,     0.085,     0.019,     0.079,     0.061,     0.041],
[2024-01-23 23:29:33] [INFO] local epoch 9, acc: 0.4400
[2024-01-23 23:29:34] [INFO] local epoch 10, acc: 0.4250
[2024-01-23 23:29:34] [INFO] local epoch 11, acc: 0.4250
[2024-01-23 23:29:35] [INFO] local epoch 12, acc: 0.4200
[2024-01-23 23:29:35] [INFO] local epoch 13, acc: 0.4300
[2024-01-23 23:29:36] [INFO] local epoch 14, acc: 0.4150
[2024-01-23 23:29:36] [INFO] local epoch 15, acc: 0.4100
[2024-01-23 23:29:37] [INFO] local epoch 16, acc: 0.4000
[2024-01-23 23:29:37] [INFO] local epoch 17, acc: 0.4050
[2024-01-23 23:29:38] [INFO] local epoch 18, acc: 0.4000
[2024-01-23 23:29:38] [INFO] local epoch 19, acc: 0.3900
[2024-01-23 23:29:39] [INFO] local epoch 20, acc: 0.4000
[2024-01-23 23:29:39] [INFO] [server epoch 1, client 5, local train]
[2024-01-23 23:29:39] [INFO] local epoch 1, acc: 0.3150
[2024-01-23 23:29:40] [INFO] local epoch 2, acc: 0.4700
[2024-01-23 23:29:40] [INFO] local epoch 3, acc: 0.5000
[2024-01-23 23:29:41] [INFO] local epoch 4, acc: 0.4800
[2024-01-23 23:29:41] [INFO] local epoch 5, acc: 0.4950
[2024-01-23 23:29:42] [INFO] local epoch 6, acc: 0.5150
[2024-01-23 23:29:42] [INFO] local epoch 7, acc: 0.5300
[2024-01-23 23:29:43] [INFO] local epoch 8, acc: 0.5250
[2024-01-23 23:29:43] [INFO] local epoch 9, acc: 0.5250
[2024-01-23 23:29:44] [INFO] local epoch 10, acc: 0.5500
[2024-01-23 23:29:44] [INFO] local epoch 11, acc: 0.5600
[2024-01-23 23:29:45] [INFO] local epoch 12, acc: 0.5500
[2024-01-23 23:29:45] [INFO] local epoch 13, acc: 0.5350
[2024-01-23 23:29:46] [INFO] local epoch 14, acc: 0.5300
[2024-01-23 23:29:46] [INFO] local epoch 15, acc: 0.5200
[2024-01-23 23:29:47] [INFO] local epoch 16, acc: 0.5300
[2024-01-23 23:29:47] [INFO] local epoch 17, acc: 0.5450
[2024-01-23 23:29:48] [INFO] local epoch 18, acc: 0.5350
[2024-01-23 23:29:48] [INFO] local epoch 19, acc: 0.5300
[2024-01-23 23:29:49] [INFO] local epoch 20, acc: 0.5350
[2024-01-23 23:29:49] [INFO] [server epoch 1, client 6, local train]
[2024-01-23 23:29:49] [INFO] local epoch 1, acc: 0.1300
[2024-01-23 23:29:50] [INFO] local epoch 2, acc: 0.2100
[2024-01-23 23:29:50] [INFO] local epoch 3, acc: 0.2550
[2024-01-23 23:29:50] [INFO] local epoch 4, acc: 0.3200
[2024-01-23 23:29:51] [INFO] local epoch 5, acc: 0.3550
[2024-01-23 23:29:51] [INFO] local epoch 6, acc: 0.3550
[2024-01-23 23:29:52] [INFO] local epoch 7, acc: 0.3450
[2024-01-23 23:29:52] [INFO] local epoch 8, acc: 0.3750
[2024-01-23 23:29:53] [INFO] local epoch 9, acc: 0.3600
[2024-01-23 23:29:53] [INFO] local epoch 10, acc: 0.3650
[2024-01-23 23:29:54] [INFO] local epoch 11, acc: 0.3650
[2024-01-23 23:29:54] [INFO] local epoch 12, acc: 0.3550
[2024-01-23 23:29:55] [INFO] local epoch 13, acc: 0.3600
[2024-01-23 23:29:55] [INFO] local epoch 14, acc: 0.3350
[2024-01-23 23:29:56] [INFO] local epoch 15, acc: 0.3350
[2024-01-23 23:29:56] [INFO] local epoch 16, acc: 0.3500
[2024-01-23 23:29:57] [INFO] local epoch 17, acc: 0.3500
[2024-01-23 23:29:57] [INFO] local epoch 18, acc: 0.3550
[2024-01-23 23:29:58] [INFO] local epoch 19, acc: 0.3600
[2024-01-23 23:29:58] [INFO] local epoch 20, acc: 0.3650
[2024-01-23 23:29:58] [INFO] [server epoch 1, client 7, local train]
[2024-01-23 23:29:59] [INFO] local epoch 1, acc: 0.2750
[2024-01-23 23:29:59] [INFO] local epoch 2, acc: 0.2200
[2024-01-23 23:30:00] [INFO] local epoch 3, acc: 0.2450
[2024-01-23 23:30:01] [INFO] local epoch 4, acc: 0.2950
[2024-01-23 23:30:01] [INFO] local epoch 5, acc: 0.3850
[2024-01-23 23:30:01] [INFO] local epoch 6, acc: 0.3950
[2024-01-23 23:30:02] [INFO] local epoch 7, acc: 0.4300
[2024-01-23 23:30:02] [INFO] local epoch 8, acc: 0.4500
[2024-01-23 23:30:03] [INFO] local epoch 9, acc: 0.4450
[2024-01-23 23:30:03] [INFO] local epoch 10, acc: 0.4650
[2024-01-23 23:30:04] [INFO] local epoch 11, acc: 0.4750
[2024-01-23 23:30:04] [INFO] local epoch 12, acc: 0.4700
[2024-01-23 23:30:05] [INFO] local epoch 13, acc: 0.4700
[2024-01-23 23:30:05] [INFO] local epoch 14, acc: 0.4500
[2024-01-23 23:30:06] [INFO] local epoch 15, acc: 0.4600
[2024-01-23 23:30:07] [INFO] local epoch 16, acc: 0.4650
[2024-01-23 23:30:07] [INFO] local epoch 17, acc: 0.4800
[2024-01-23 23:30:08] [INFO] local epoch 18, acc: 0.4800
[2024-01-23 23:30:08] [INFO] local epoch 19, acc: 0.4750
[2024-01-23 23:30:09] [INFO] local epoch 20, acc: 0.4700
[2024-01-23 23:30:09] [INFO] [server epoch 1, client 8, local train]
[2024-01-23 23:30:09] [INFO] local epoch 1, acc: 0.1950
[2024-01-23 23:30:10] [INFO] local epoch 2, acc: 0.2100
[2024-01-23 23:30:10] [INFO] local epoch 3, acc: 0.2300
[2024-01-23 23:30:11] [INFO] local epoch 4, acc: 0.2850
[2024-01-23 23:30:11] [INFO] local epoch 5, acc: 0.4350
[2024-01-23 23:30:12] [INFO] local epoch 6, acc: 0.4750
[2024-01-23 23:30:12] [INFO] local epoch 7, acc: 0.5000
[2024-01-23 23:30:13] [INFO] local epoch 8, acc: 0.5000
[2024-01-23 23:30:13] [INFO] local epoch 9, acc: 0.5200
[2024-01-23 23:30:14] [INFO] local epoch 10, acc: 0.5150
[2024-01-23 23:30:14] [INFO] local epoch 11, acc: 0.5250
[2024-01-23 23:30:15] [INFO] local epoch 12, acc: 0.5150
[2024-01-23 23:30:15] [INFO] local epoch 13, acc: 0.5150
[2024-01-23 23:30:16] [INFO] local epoch 14, acc: 0.5200
[2024-01-23 23:30:16] [INFO] local epoch 15, acc: 0.5300
[2024-01-23 23:30:17] [INFO] local epoch 16, acc: 0.5150
[2024-01-23 23:30:17] [INFO] local epoch 17, acc: 0.5100
[2024-01-23 23:30:18] [INFO] local epoch 18, acc: 0.5000
[2024-01-23 23:30:18] [INFO] local epoch 19, acc: 0.5150
[2024-01-23 23:30:19] [INFO] local epoch 20, acc: 0.5300
[2024-01-23 23:30:19] [INFO] [server epoch 1, client 9, local train]
[2024-01-23 23:30:19] [INFO] local epoch 1, acc: 0.5750
[2024-01-23 23:30:20] [INFO] local epoch 2, acc: 0.6000
[2024-01-23 23:30:21] [INFO] local epoch 3, acc: 0.6000
[2024-01-23 23:30:21] [INFO] local epoch 4, acc: 0.5750
[2024-01-23 23:30:22] [INFO] local epoch 5, acc: 0.6100
[2024-01-23 23:30:22] [INFO] local epoch 6, acc: 0.6100
[2024-01-23 23:30:23] [INFO] local epoch 7, acc: 0.5950
[2024-01-23 23:30:23] [INFO] local epoch 8, acc: 0.6000
[2024-01-23 23:30:24] [INFO] local epoch 9, acc: 0.5950
[2024-01-23 23:30:24] [INFO] local epoch 10, acc: 0.6050
[2024-01-23 23:30:25] [INFO] local epoch 11, acc: 0.5950
[2024-01-23 23:30:25] [INFO] local epoch 12, acc: 0.6000
[2024-01-23 23:30:26] [INFO] local epoch 13, acc: 0.5850
[2024-01-23 23:30:26] [INFO] local epoch 14, acc: 0.5800
[2024-01-23 23:30:27] [INFO] local epoch 15, acc: 0.5700
[2024-01-23 23:30:27] [INFO] local epoch 16, acc: 0.5650
[2024-01-23 23:30:28] [INFO] local epoch 17, acc: 0.5650
[2024-01-23 23:30:28] [INFO] local epoch 18, acc: 0.5750
[2024-01-23 23:30:29] [INFO] local epoch 19, acc: 0.5750
[2024-01-23 23:30:29] [INFO] local epoch 20, acc: 0.5750
[2024-01-23 23:30:30] [INFO] server epoch 1, acc 0.4000
[2024-01-23 23:30:30] [INFO] server epoch 1, acc 0.3950
[2024-01-23 23:30:30] [INFO] server epoch 1, acc 0.3000
[2024-01-23 23:30:31] [INFO] server epoch 1, acc 0.3200
[2024-01-23 23:30:31] [INFO] server epoch 1, acc 0.4900
[2024-01-23 23:30:31] [INFO] server epoch 1, acc 0.3300
