[2024-01-31 18:21:07] [INFO] hyper_fed
      n_public_data  :  100  
          seed       : 10000 
      local_epochs   :  10   
     distill_epochs  :  10   
       batch_size    :  160  
      server_epochs  :  20   
          alpha      :  1.0  
         dataset     :cifar10
     model_structure : cnn3  
[2024-01-31 18:21:20] [INFO] [rank: 1, server epoch 1, client 1, local train]
[2024-01-31 18:21:21] [INFO] rank: 0, local epoch 1, acc: 0.4026
[2024-01-31 18:21:21] [INFO] rank: 1, local epoch 2, acc: 0.4496
[2024-01-31 18:21:22] [INFO] rank: 1, local epoch 3, acc: 0.4824
[2024-01-31 18:21:23] [INFO] rank: 1, local epoch 4, acc: 0.5217
[2024-01-31 18:21:23] [INFO] rank: 1, local epoch 5, acc: 0.5387
[2024-01-31 18:21:24] [INFO] rank: 1, local epoch 6, acc: 0.5516
[2024-01-31 18:21:24] [INFO] rank: 1, local epoch 7, acc: 0.5597
[2024-01-31 18:21:25] [INFO] rank: 1, local epoch 8, acc: 0.5768
[2024-01-31 18:21:26] [INFO] rank: 1, local epoch 9, acc: 0.5800
[2024-01-31 18:21:26] [INFO] rank: 1, local epoch 10, acc: 0.5901
[2024-01-31 18:21:26] [INFO] [rank: 1, server epoch 1, client 2, local train]
[2024-01-31 18:21:27] [INFO] rank: 1, local epoch 1, acc: 0.4002
[2024-01-31 18:21:27] [INFO] rank: 1, local epoch 2, acc: 0.4504
[2024-01-31 18:21:28] [INFO] rank: 1, local epoch 3, acc: 0.4994
[2024-01-31 18:21:28] [INFO] rank: 1, local epoch 4, acc: 0.5221
[2024-01-31 18:21:29] [INFO] rank: 1, local epoch 5, acc: 0.5427
[2024-01-31 18:21:29] [INFO] rank: 1, local epoch 6, acc: 0.5448
[2024-01-31 18:21:30] [INFO] rank: 1, local epoch 7, acc: 0.5589
[2024-01-31 18:21:30] [INFO] rank: 1, local epoch 8, acc: 0.5695
[2024-01-31 18:21:31] [INFO] rank: 1, local epoch 9, acc: 0.5828
[2024-01-31 18:21:32] [INFO] rank: 1, local epoch 10, acc: 0.5861
[2024-01-31 18:21:32] [INFO] [rank: 1, server epoch 1, client 3, local train]
[2024-01-31 18:21:32] [INFO] rank: 1, local epoch 1, acc: 0.4147
[2024-01-31 18:21:33] [INFO] rank: 1, local epoch 2, acc: 0.4407
[2024-01-31 18:21:33] [INFO] rank: 1, local epoch 3, acc: 0.4921
[2024-01-31 18:21:34] [INFO] rank: 1, local epoch 4, acc: 0.5172
[2024-01-31 18:21:34] [INFO] rank: 1, local epoch 5, acc: 0.5358
[2024-01-31 18:21:35] [INFO] rank: 1, local epoch 6, acc: 0.5573
[2024-01-31 18:21:35] [INFO] rank: 1, local epoch 7, acc: 0.5573
[2024-01-31 18:21:36] [INFO] rank: 1, local epoch 8, acc: 0.5768
[2024-01-31 18:21:36] [INFO] rank: 1, local epoch 9, acc: 0.5691
[2024-01-31 18:21:37] [INFO] rank: 1, local epoch 10, acc: 0.5784
[2024-01-31 18:21:37] [INFO] [rank: 1, server epoch 1, client 4, local train]
[2024-01-31 18:21:38] [INFO] rank: 1, local epoch 1, acc: 0.3606
[2024-01-31 18:21:38] [INFO] rank: 1, local epoch 2, acc: 0.4355
[2024-01-31 18:21:39] [INFO] rank: 1, local epoch 3, acc: 0.4755
[2024-01-31 18:21:39] [INFO] rank: 1, local epoch 4, acc: 0.5089
[2024-01-31 18:21:40] [INFO] rank: 1, local epoch 5, acc: 0.5224
[2024-01-31 18:21:41] [INFO] rank: 1, local epoch 6, acc: 0.5454
[2024-01-31 18:21:41] [INFO] rank: 1, local epoch 7, acc: 0.5616
[2024-01-31 18:21:42] [INFO] rank: 1, local epoch 8, acc: 0.5637
[2024-01-31 18:21:42] [INFO] rank: 1, local epoch 9, acc: 0.5746
[2024-01-31 18:21:43] [INFO] rank: 1, local epoch 10, acc: 0.5866
