[2024-01-31 18:55:28] [INFO] hyper_fed
      n_public_data  :  100  
          seed       : 10000 
      local_epochs   :  10   
     distill_epochs  :  10   
       batch_size    :  160  
      server_epochs  :  20   
          alpha      :  1.0  
         dataset     :cifar10
     model_structure : cnn3  
[2024-01-31 18:55:40] [INFO] [rank: 2, server epoch 1, client 1, local train]
[2024-01-31 18:55:41] [INFO] rank: 2, local epoch 1, acc: 0.4026
[2024-01-31 18:55:41] [INFO] rank: 0, local epoch 2, acc: 0.4492
[2024-01-31 18:55:42] [INFO] rank: 1, local epoch 3, acc: 0.4812
[2024-01-31 18:55:42] [INFO] rank: 2, local epoch 4, acc: 0.5217
[2024-01-31 18:55:43] [INFO] rank: 2, local epoch 5, acc: 0.5395
[2024-01-31 18:55:44] [INFO] rank: 0, local epoch 6, acc: 0.5512
[2024-01-31 18:55:44] [INFO] rank: 0, local epoch 7, acc: 0.5597
[2024-01-31 18:55:45] [INFO] rank: 1, local epoch 8, acc: 0.5755
[2024-01-31 18:55:45] [INFO] rank: 1, local epoch 9, acc: 0.5800
[2024-01-31 18:55:46] [INFO] rank: 1, local epoch 10, acc: 0.5893
[2024-01-31 18:55:46] [INFO] [rank: 1, server epoch 1, client 2, local train]
[2024-01-31 18:55:46] [INFO] rank: 0, local epoch 1, acc: 0.3998
[2024-01-31 18:55:47] [INFO] rank: 0, local epoch 2, acc: 0.4508
[2024-01-31 18:55:47] [INFO] rank: 0, local epoch 3, acc: 0.4994
[2024-01-31 18:55:48] [INFO] rank: 1, local epoch 4, acc: 0.5233
[2024-01-31 18:55:48] [INFO] rank: 2, local epoch 5, acc: 0.5427
[2024-01-31 18:55:49] [INFO] rank: 1, local epoch 6, acc: 0.5448
[2024-01-31 18:55:49] [INFO] rank: 1, local epoch 7, acc: 0.5610
[2024-01-31 18:55:50] [INFO] rank: 0, local epoch 8, acc: 0.5687
[2024-01-31 18:55:51] [INFO] rank: 0, local epoch 9, acc: 0.5816
[2024-01-31 18:55:51] [INFO] rank: 1, local epoch 10, acc: 0.5865
[2024-01-31 18:55:51] [INFO] [rank: 1, server epoch 1, client 3, local train]
[2024-01-31 18:55:52] [INFO] rank: 0, local epoch 1, acc: 0.4151
[2024-01-31 18:55:52] [INFO] rank: 0, local epoch 2, acc: 0.4399
[2024-01-31 18:55:53] [INFO] rank: 1, local epoch 3, acc: 0.4905
[2024-01-31 18:55:53] [INFO] rank: 1, local epoch 4, acc: 0.5164
[2024-01-31 18:55:54] [INFO] rank: 2, local epoch 5, acc: 0.5346
[2024-01-31 18:55:54] [INFO] rank: 0, local epoch 6, acc: 0.5561
[2024-01-31 18:55:55] [INFO] rank: 0, local epoch 7, acc: 0.5585
[2024-01-31 18:55:55] [INFO] rank: 0, local epoch 8, acc: 0.5772
[2024-01-31 18:55:56] [INFO] rank: 2, local epoch 9, acc: 0.5695
[2024-01-31 18:55:56] [INFO] rank: 1, local epoch 10, acc: 0.5788
[2024-01-31 18:55:56] [INFO] [rank: 1, server epoch 1, client 4, local train]
[2024-01-31 18:55:57] [INFO] rank: 0, local epoch 1, acc: 0.3620
[2024-01-31 18:55:58] [INFO] rank: 0, local epoch 2, acc: 0.4353
[2024-01-31 18:55:58] [INFO] rank: 0, local epoch 3, acc: 0.4752
[2024-01-31 18:55:59] [INFO] rank: 0, local epoch 4, acc: 0.5073
[2024-01-31 18:55:59] [INFO] rank: 0, local epoch 5, acc: 0.5217
[2024-01-31 18:56:00] [INFO] rank: 0, local epoch 6, acc: 0.5459
[2024-01-31 18:56:01] [INFO] rank: 1, local epoch 7, acc: 0.5632
[2024-01-31 18:56:01] [INFO] rank: 2, local epoch 8, acc: 0.5660
[2024-01-31 18:56:02] [INFO] rank: 2, local epoch 9, acc: 0.5744
[2024-01-31 18:56:02] [INFO] rank: 0, local epoch 10, acc: 0.5874
[2024-01-31 18:56:02] [INFO] [rank: 0, server epoch 1, client 5, local train]
[2024-01-31 18:56:03] [INFO] rank: 0, local epoch 1, acc: 0.3677
[2024-01-31 18:56:04] [INFO] rank: 0, local epoch 2, acc: 0.4468
[2024-01-31 18:56:04] [INFO] rank: 2, local epoch 3, acc: 0.4786
[2024-01-31 18:56:05] [INFO] rank: 2, local epoch 4, acc: 0.5023
[2024-01-31 18:56:05] [INFO] rank: 2, local epoch 5, acc: 0.5240
[2024-01-31 18:56:06] [INFO] rank: 1, local epoch 6, acc: 0.5352
[2024-01-31 18:56:06] [INFO] rank: 2, local epoch 7, acc: 0.5605
[2024-01-31 18:56:07] [INFO] rank: 2, local epoch 8, acc: 0.5660
[2024-01-31 18:56:08] [INFO] rank: 2, local epoch 9, acc: 0.5739
[2024-01-31 18:56:08] [INFO] rank: 1, local epoch 10, acc: 0.5809
[2024-01-31 18:56:08] [INFO] [rank: 1, server epoch 1, client 6, local train]
[2024-01-31 18:56:09] [INFO] rank: 2, local epoch 1, acc: 0.3599
[2024-01-31 18:56:09] [INFO] rank: 0, local epoch 2, acc: 0.4541
[2024-01-31 18:56:10] [INFO] rank: 0, local epoch 3, acc: 0.4846
[2024-01-31 18:56:11] [INFO] rank: 2, local epoch 4, acc: 0.5112
[2024-01-31 18:56:11] [INFO] rank: 1, local epoch 5, acc: 0.5251
[2024-01-31 18:56:12] [INFO] rank: 0, local epoch 6, acc: 0.5412
[2024-01-31 18:56:12] [INFO] rank: 1, local epoch 7, acc: 0.5478
[2024-01-31 18:56:13] [INFO] rank: 1, local epoch 8, acc: 0.5634
[2024-01-31 18:56:13] [INFO] rank: 0, local epoch 9, acc: 0.5804
[2024-01-31 18:56:14] [INFO] rank: 2, local epoch 10, acc: 0.5874
[2024-01-31 18:56:14] [INFO] [rank: 2, server epoch 1, client 7, local train]
[2024-01-31 18:56:15] [INFO] rank: 1, local epoch 1, acc: 0.3866
[2024-01-31 18:56:15] [INFO] rank: 0, local epoch 2, acc: 0.3985
[2024-01-31 18:56:16] [INFO] rank: 2, local epoch 3, acc: 0.4380
[2024-01-31 18:56:16] [INFO] rank: 1, local epoch 4, acc: 0.4726
[2024-01-31 18:56:17] [INFO] rank: 0, local epoch 5, acc: 0.4793
[2024-01-31 18:56:18] [INFO] rank: 0, local epoch 6, acc: 0.4934
[2024-01-31 18:56:18] [INFO] rank: 1, local epoch 7, acc: 0.4982
