[2024-02-23 19:35:32] [INFO] hyper_fed2
      n_public_data  : 1000  
          seed       : 10000 
      local_epochs   :  10   
     distill_epochs  :  10   
       batch_size    :  160  
      server_epochs  :  20   
          alpha      :  1.0  
            a        :  0.5  
       temperature   :   0   
         dataset     :cifar10
     model_structure : cnn3  
[2024-02-23 19:35:57] [INFO] [rank: 1, server epoch 1, client 1, local train]
[2024-02-23 19:35:59] [INFO] rank: 1, local epoch 1, acc: 0.3937
[2024-02-23 19:36:01] [INFO] rank: 1, local epoch 2, acc: 0.4565
[2024-02-23 19:36:03] [INFO] rank: 1, local epoch 3, acc: 0.4917
[2024-02-23 19:36:04] [INFO] rank: 1, local epoch 4, acc: 0.5136
[2024-02-23 19:36:06] [INFO] rank: 1, local epoch 5, acc: 0.5326
[2024-02-23 19:36:08] [INFO] rank: 1, local epoch 6, acc: 0.5496
[2024-02-23 19:36:10] [INFO] rank: 1, local epoch 7, acc: 0.5391
[2024-02-23 19:36:11] [INFO] rank: 1, local epoch 8, acc: 0.5662
[2024-02-23 19:36:13] [INFO] rank: 1, local epoch 9, acc: 0.5772
[2024-02-23 19:36:15] [INFO] rank: 1, local epoch 10, acc: 0.5836
[2024-02-23 19:36:15] [INFO] [rank: 1, server epoch 1, client 2, local train]
[2024-02-23 19:36:16] [INFO] rank: 1, local epoch 1, acc: 0.3742
[2024-02-23 19:36:18] [INFO] rank: 1, local epoch 2, acc: 0.4528
[2024-02-23 19:36:20] [INFO] rank: 1, local epoch 3, acc: 0.4836
[2024-02-23 19:36:22] [INFO] rank: 1, local epoch 4, acc: 0.5200
[2024-02-23 19:36:23] [INFO] rank: 1, local epoch 5, acc: 0.5346
[2024-02-23 19:36:25] [INFO] rank: 1, local epoch 6, acc: 0.5468
[2024-02-23 19:36:27] [INFO] rank: 1, local epoch 7, acc: 0.5448
[2024-02-23 19:36:28] [INFO] rank: 1, local epoch 8, acc: 0.5593
[2024-02-23 19:36:30] [INFO] rank: 1, local epoch 9, acc: 0.5691
[2024-02-23 19:36:32] [INFO] rank: 1, local epoch 10, acc: 0.5808
[2024-02-23 19:36:32] [INFO] [rank: 1, server epoch 1, client 3, local train]
[2024-02-23 19:36:34] [INFO] rank: 1, local epoch 1, acc: 0.3953
[2024-02-23 19:36:35] [INFO] rank: 1, local epoch 2, acc: 0.4504
[2024-02-23 19:36:37] [INFO] rank: 1, local epoch 3, acc: 0.4779
