[2024-02-20 22:14:17] [INFO] hyper_fed
      n_public_data  :  100  
          seed       : 10000 
      local_epochs   :  10   
     distill_epochs  :  10   
       batch_size    :  160  
      server_epochs  :  20   
          alpha      :  1.0  
            a        :  0.5  
       temperature   :  10   
         dataset     :cifar10
     model_structure : cnn3  
[2024-02-20 22:14:40] [INFO] [rank: 1, server epoch 1, client 1, local train]
[2024-02-20 22:14:41] [INFO] rank: 1, local epoch 1, acc: 0.4026
[2024-02-20 22:14:43] [INFO] rank: 1, local epoch 2, acc: 0.4492
[2024-02-20 22:14:44] [INFO] rank: 1, local epoch 3, acc: 0.4820
[2024-02-20 22:14:46] [INFO] rank: 1, local epoch 4, acc: 0.5209
[2024-02-20 22:14:47] [INFO] rank: 1, local epoch 5, acc: 0.5395
[2024-02-20 22:14:49] [INFO] rank: 1, local epoch 6, acc: 0.5512
[2024-02-20 22:14:50] [INFO] rank: 1, local epoch 7, acc: 0.5585
[2024-02-20 22:14:52] [INFO] rank: 1, local epoch 8, acc: 0.5784
[2024-02-20 22:14:53] [INFO] rank: 1, local epoch 9, acc: 0.5792
[2024-02-20 22:14:55] [INFO] rank: 1, local epoch 10, acc: 0.5893
[2024-02-20 22:14:55] [INFO] [rank: 1, server epoch 1, client 2, local train]
[2024-02-20 22:14:57] [INFO] rank: 1, local epoch 1, acc: 0.3998
[2024-02-20 22:14:58] [INFO] rank: 1, local epoch 2, acc: 0.4508
[2024-02-20 22:15:00] [INFO] rank: 1, local epoch 3, acc: 0.5002
[2024-02-20 22:15:01] [INFO] rank: 1, local epoch 4, acc: 0.5229
[2024-02-20 22:15:03] [INFO] rank: 1, local epoch 5, acc: 0.5423
[2024-02-20 22:15:04] [INFO] rank: 1, local epoch 6, acc: 0.5456
[2024-02-20 22:15:06] [INFO] rank: 1, local epoch 7, acc: 0.5601
[2024-02-20 22:15:07] [INFO] rank: 1, local epoch 8, acc: 0.5687
[2024-02-20 22:15:08] [INFO] rank: 1, local epoch 9, acc: 0.5828
[2024-02-20 22:15:10] [INFO] rank: 1, local epoch 10, acc: 0.5869
[2024-02-20 22:15:10] [INFO] [rank: 1, server epoch 1, client 3, local train]
[2024-02-20 22:15:11] [INFO] rank: 1, local epoch 1, acc: 0.4143
[2024-02-20 22:15:13] [INFO] rank: 1, local epoch 2, acc: 0.4399
[2024-02-20 22:15:14] [INFO] rank: 1, local epoch 3, acc: 0.4921
[2024-02-20 22:15:16] [INFO] rank: 1, local epoch 4, acc: 0.5168
[2024-02-20 22:15:17] [INFO] rank: 1, local epoch 5, acc: 0.5362
[2024-02-20 22:15:19] [INFO] rank: 1, local epoch 6, acc: 0.5573
[2024-02-20 22:15:20] [INFO] rank: 1, local epoch 7, acc: 0.5585
[2024-02-20 22:15:22] [INFO] rank: 1, local epoch 8, acc: 0.5772
[2024-02-20 22:15:23] [INFO] rank: 1, local epoch 9, acc: 0.5682
[2024-02-20 22:15:25] [INFO] rank: 1, local epoch 10, acc: 0.5780
[2024-02-20 22:15:25] [INFO] [rank: 1, server epoch 1, client 4, local train]
[2024-02-20 22:15:27] [INFO] rank: 1, local epoch 1, acc: 0.3620
[2024-02-20 22:15:29] [INFO] rank: 1, local epoch 2, acc: 0.4358
[2024-02-20 22:15:30] [INFO] rank: 1, local epoch 3, acc: 0.4768
[2024-02-20 22:15:32] [INFO] rank: 1, local epoch 4, acc: 0.5068
[2024-02-20 22:15:34] [INFO] rank: 1, local epoch 5, acc: 0.5222
[2024-02-20 22:15:36] [INFO] rank: 1, local epoch 6, acc: 0.5423
[2024-02-20 22:15:37] [INFO] rank: 1, local epoch 7, acc: 0.5611
[2024-02-20 22:15:39] [INFO] rank: 1, local epoch 8, acc: 0.5652
[2024-02-20 22:15:41] [INFO] rank: 1, local epoch 9, acc: 0.5746
[2024-02-20 22:15:43] [INFO] rank: 1, local epoch 10, acc: 0.5869
[2024-02-20 22:15:43] [INFO] [rank: 1, server epoch 1, client 5, local train]
[2024-02-20 22:15:44] [INFO] rank: 1, local epoch 1, acc: 0.3685
[2024-02-20 22:15:46] [INFO] rank: 1, local epoch 2, acc: 0.4462
[2024-02-20 22:15:47] [INFO] rank: 1, local epoch 3, acc: 0.4796
[2024-02-20 22:15:49] [INFO] rank: 1, local epoch 4, acc: 0.5016
