[2024-02-20 22:14:17] [INFO] hyper_fed
      n_public_data  :  100  
          seed       : 10000 
      local_epochs   :  10   
     distill_epochs  :  10   
       batch_size    :  160  
      server_epochs  :  20   
          alpha      :  1.0  
            a        :  0.5  
       temperature   :  15   
         dataset     :cifar10
     model_structure : cnn3  
[2024-02-20 22:14:40] [INFO] [rank: 2, server epoch 1, client 1, local train]
[2024-02-20 22:14:42] [INFO] rank: 2, local epoch 1, acc: 0.4026
[2024-02-20 22:14:43] [INFO] rank: 2, local epoch 2, acc: 0.4492
[2024-02-20 22:14:45] [INFO] rank: 2, local epoch 3, acc: 0.4824
[2024-02-20 22:14:46] [INFO] rank: 2, local epoch 4, acc: 0.5209
[2024-02-20 22:14:48] [INFO] rank: 2, local epoch 5, acc: 0.5391
[2024-02-20 22:14:49] [INFO] rank: 2, local epoch 6, acc: 0.5525
[2024-02-20 22:14:51] [INFO] rank: 2, local epoch 7, acc: 0.5601
[2024-02-20 22:14:52] [INFO] rank: 2, local epoch 8, acc: 0.5768
[2024-02-20 22:14:54] [INFO] rank: 2, local epoch 9, acc: 0.5784
[2024-02-20 22:14:55] [INFO] rank: 2, local epoch 10, acc: 0.5889
[2024-02-20 22:14:55] [INFO] [rank: 2, server epoch 1, client 2, local train]
[2024-02-20 22:14:57] [INFO] rank: 2, local epoch 1, acc: 0.3998
[2024-02-20 22:14:59] [INFO] rank: 2, local epoch 2, acc: 0.4508
[2024-02-20 22:15:01] [INFO] rank: 2, local epoch 3, acc: 0.4994
[2024-02-20 22:15:02] [INFO] rank: 2, local epoch 4, acc: 0.5225
[2024-02-20 22:15:04] [INFO] rank: 2, local epoch 5, acc: 0.5435
[2024-02-20 22:15:05] [INFO] rank: 2, local epoch 6, acc: 0.5439
[2024-02-20 22:15:07] [INFO] rank: 2, local epoch 7, acc: 0.5585
[2024-02-20 22:15:08] [INFO] rank: 2, local epoch 8, acc: 0.5691
[2024-02-20 22:15:10] [INFO] rank: 2, local epoch 9, acc: 0.5828
[2024-02-20 22:15:11] [INFO] rank: 2, local epoch 10, acc: 0.5861
[2024-02-20 22:15:11] [INFO] [rank: 2, server epoch 1, client 3, local train]
[2024-02-20 22:15:13] [INFO] rank: 2, local epoch 1, acc: 0.4151
[2024-02-20 22:15:14] [INFO] rank: 2, local epoch 2, acc: 0.4407
[2024-02-20 22:15:16] [INFO] rank: 2, local epoch 3, acc: 0.4917
[2024-02-20 22:15:17] [INFO] rank: 2, local epoch 4, acc: 0.5172
[2024-02-20 22:15:19] [INFO] rank: 2, local epoch 5, acc: 0.5346
[2024-02-20 22:15:20] [INFO] rank: 2, local epoch 6, acc: 0.5569
[2024-02-20 22:15:22] [INFO] rank: 2, local epoch 7, acc: 0.5593
[2024-02-20 22:15:23] [INFO] rank: 2, local epoch 8, acc: 0.5772
[2024-02-20 22:15:25] [INFO] rank: 2, local epoch 9, acc: 0.5674
[2024-02-20 22:15:26] [INFO] rank: 2, local epoch 10, acc: 0.5792
[2024-02-20 22:15:26] [INFO] [rank: 2, server epoch 1, client 4, local train]
[2024-02-20 22:15:28] [INFO] rank: 2, local epoch 1, acc: 0.3612
[2024-02-20 22:15:30] [INFO] rank: 2, local epoch 2, acc: 0.4358
[2024-02-20 22:15:32] [INFO] rank: 2, local epoch 3, acc: 0.4768
[2024-02-20 22:15:33] [INFO] rank: 2, local epoch 4, acc: 0.5086
[2024-02-20 22:15:35] [INFO] rank: 2, local epoch 5, acc: 0.5214
[2024-02-20 22:15:37] [INFO] rank: 2, local epoch 6, acc: 0.5425
[2024-02-20 22:15:39] [INFO] rank: 2, local epoch 7, acc: 0.5611
[2024-02-20 22:15:40] [INFO] rank: 2, local epoch 8, acc: 0.5652
[2024-02-20 22:15:42] [INFO] rank: 2, local epoch 9, acc: 0.5746
[2024-02-20 22:15:43] [INFO] rank: 2, local epoch 10, acc: 0.5872
[2024-02-20 22:15:43] [INFO] [rank: 2, server epoch 1, client 5, local train]
[2024-02-20 22:15:45] [INFO] rank: 2, local epoch 1, acc: 0.3687
[2024-02-20 22:15:47] [INFO] rank: 2, local epoch 2, acc: 0.4462
[2024-02-20 22:15:49] [INFO] rank: 2, local epoch 3, acc: 0.4786
[2024-02-20 22:15:50] [INFO] rank: 2, local epoch 4, acc: 0.5026
[2024-02-20 22:15:52] [INFO] rank: 2, local epoch 5, acc: 0.5230
[2024-02-20 22:15:54] [INFO] rank: 2, local epoch 6, acc: 0.5342
[2024-02-20 22:15:56] [INFO] rank: 2, local epoch 7, acc: 0.5613
[2024-02-20 22:15:57] [INFO] rank: 2, local epoch 8, acc: 0.5639
[2024-02-20 22:15:59] [INFO] rank: 2, local epoch 9, acc: 0.5741
[2024-02-20 22:16:01] [INFO] rank: 2, local epoch 10, acc: 0.5804
[2024-02-20 22:16:01] [INFO] [rank: 2, server epoch 1, client 6, local train]
[2024-02-20 22:16:03] [INFO] rank: 2, local epoch 1, acc: 0.3604
[2024-02-20 22:16:05] [INFO] rank: 2, local epoch 2, acc: 0.4551
[2024-02-20 22:16:06] [INFO] rank: 2, local epoch 3, acc: 0.4841
[2024-02-20 22:16:08] [INFO] rank: 2, local epoch 4, acc: 0.5120
[2024-02-20 22:16:10] [INFO] rank: 2, local epoch 5, acc: 0.5243
[2024-02-20 22:16:12] [INFO] rank: 2, local epoch 6, acc: 0.5410
[2024-02-20 22:16:13] [INFO] rank: 2, local epoch 7, acc: 0.5472
