[2024-02-20 20:47:29] [INFO] hyper_fed
      n_public_data  :  100  
          seed       : 10000 
      local_epochs   :  10   
     distill_epochs  :  10   
       batch_size    :  160  
      server_epochs  :  20   
          alpha      :  1.0  
            a        :  1.0  
       temperature   :   5   
         dataset     :cifar10
     model_structure : cnn3  
[2024-02-20 20:47:52] [INFO] [rank: 0, server epoch 1, client 1, local train]
[2024-02-20 20:47:54] [INFO] rank: 0, local epoch 1, acc: 0.4026
[2024-02-20 20:47:55] [INFO] rank: 0, local epoch 2, acc: 0.4492
[2024-02-20 20:47:57] [INFO] rank: 0, local epoch 3, acc: 0.4824
[2024-02-20 20:47:58] [INFO] rank: 0, local epoch 4, acc: 0.5217
[2024-02-20 20:48:00] [INFO] rank: 0, local epoch 5, acc: 0.5399
[2024-02-20 20:48:01] [INFO] rank: 0, local epoch 6, acc: 0.5516
[2024-02-20 20:48:03] [INFO] rank: 0, local epoch 7, acc: 0.5606
[2024-02-20 20:48:04] [INFO] rank: 0, local epoch 8, acc: 0.5768
[2024-02-20 20:48:06] [INFO] rank: 0, local epoch 9, acc: 0.5780
[2024-02-20 20:48:07] [INFO] rank: 0, local epoch 10, acc: 0.5881
[2024-02-20 20:48:07] [INFO] [rank: 0, server epoch 1, client 2, local train]
[2024-02-20 20:48:09] [INFO] rank: 0, local epoch 1, acc: 0.3998
[2024-02-20 20:48:10] [INFO] rank: 0, local epoch 2, acc: 0.4504
[2024-02-20 20:48:12] [INFO] rank: 0, local epoch 3, acc: 0.4990
[2024-02-20 20:48:13] [INFO] rank: 0, local epoch 4, acc: 0.5225
[2024-02-20 20:48:15] [INFO] rank: 0, local epoch 5, acc: 0.5423
[2024-02-20 20:48:16] [INFO] rank: 0, local epoch 6, acc: 0.5456
[2024-02-20 20:48:18] [INFO] rank: 0, local epoch 7, acc: 0.5601
[2024-02-20 20:48:19] [INFO] rank: 0, local epoch 8, acc: 0.5695
[2024-02-20 20:48:20] [INFO] rank: 0, local epoch 9, acc: 0.5824
[2024-02-20 20:48:22] [INFO] rank: 0, local epoch 10, acc: 0.5861
[2024-02-20 20:48:22] [INFO] [rank: 0, server epoch 1, client 3, local train]
[2024-02-20 20:48:23] [INFO] rank: 0, local epoch 1, acc: 0.4151
[2024-02-20 20:48:25] [INFO] rank: 0, local epoch 2, acc: 0.4407
[2024-02-20 20:48:26] [INFO] rank: 0, local epoch 3, acc: 0.4921
[2024-02-20 20:48:28] [INFO] rank: 0, local epoch 4, acc: 0.5168
[2024-02-20 20:48:29] [INFO] rank: 0, local epoch 5, acc: 0.5350
[2024-02-20 20:48:31] [INFO] rank: 0, local epoch 6, acc: 0.5537
[2024-02-20 20:48:32] [INFO] rank: 0, local epoch 7, acc: 0.5585
[2024-02-20 20:48:34] [INFO] rank: 0, local epoch 8, acc: 0.5772
[2024-02-20 20:48:35] [INFO] rank: 0, local epoch 9, acc: 0.5687
[2024-02-20 20:48:37] [INFO] rank: 0, local epoch 10, acc: 0.5784
[2024-02-20 20:48:37] [INFO] [rank: 0, server epoch 1, client 4, local train]
[2024-02-20 20:48:38] [INFO] rank: 0, local epoch 1, acc: 0.3620
[2024-02-20 20:48:40] [INFO] rank: 0, local epoch 2, acc: 0.4363
[2024-02-20 20:48:42] [INFO] rank: 0, local epoch 3, acc: 0.4760
[2024-02-20 20:48:43] [INFO] rank: 0, local epoch 4, acc: 0.5073
[2024-02-20 20:48:45] [INFO] rank: 0, local epoch 5, acc: 0.5217
[2024-02-20 20:48:47] [INFO] rank: 0, local epoch 6, acc: 0.5444
[2024-02-20 20:48:49] [INFO] rank: 0, local epoch 7, acc: 0.5611
[2024-02-20 20:48:50] [INFO] rank: 0, local epoch 8, acc: 0.5658
[2024-02-20 20:48:52] [INFO] rank: 0, local epoch 9, acc: 0.5744
[2024-02-20 20:48:53] [INFO] rank: 0, local epoch 10, acc: 0.5874
[2024-02-20 20:48:53] [INFO] [rank: 0, server epoch 1, client 5, local train]
[2024-02-20 20:48:55] [INFO] rank: 0, local epoch 1, acc: 0.3685
[2024-02-20 20:48:57] [INFO] rank: 0, local epoch 2, acc: 0.4455
[2024-02-20 20:48:58] [INFO] rank: 0, local epoch 3, acc: 0.4791
[2024-02-20 20:49:00] [INFO] rank: 0, local epoch 4, acc: 0.5005
[2024-02-20 20:49:02] [INFO] rank: 0, local epoch 5, acc: 0.5232
[2024-02-20 20:49:03] [INFO] rank: 0, local epoch 6, acc: 0.5350
[2024-02-20 20:49:05] [INFO] rank: 0, local epoch 7, acc: 0.5613
[2024-02-20 20:49:07] [INFO] rank: 0, local epoch 8, acc: 0.5655
[2024-02-20 20:49:08] [INFO] rank: 0, local epoch 9, acc: 0.5739
[2024-02-20 20:49:10] [INFO] rank: 0, local epoch 10, acc: 0.5835
[2024-02-20 20:49:10] [INFO] [rank: 0, server epoch 1, client 6, local train]
[2024-02-20 20:49:11] [INFO] rank: 0, local epoch 1, acc: 0.3601
[2024-02-20 20:49:13] [INFO] rank: 0, local epoch 2, acc: 0.4530
[2024-02-20 20:49:15] [INFO] rank: 0, local epoch 3, acc: 0.4846
[2024-02-20 20:49:16] [INFO] rank: 0, local epoch 4, acc: 0.5112
[2024-02-20 20:49:18] [INFO] rank: 0, local epoch 5, acc: 0.5248
[2024-02-20 20:49:20] [INFO] rank: 0, local epoch 6, acc: 0.5418
