[2024-02-20 16:59:40] [INFO] hyper_fed
      n_public_data  :  100  
          seed       : 10000 
      local_epochs   :  10   
     distill_epochs  :  10   
       batch_size    :  160  
      server_epochs  :  20   
          alpha      :  1.0  
            a        :  1.0  
       temperature   :  10   
         dataset     :cifar10
     model_structure : cnn3  
[2024-02-20 17:00:03] [INFO] [rank: 1, server epoch 1, client 1, local train]
[2024-02-20 17:00:04] [INFO] rank: 1, local epoch 1, acc: 0.4026
[2024-02-20 17:00:06] [INFO] rank: 1, local epoch 2, acc: 0.4492
[2024-02-20 17:00:07] [INFO] rank: 1, local epoch 3, acc: 0.4824
[2024-02-20 17:00:09] [INFO] rank: 1, local epoch 4, acc: 0.5221
[2024-02-20 17:00:10] [INFO] rank: 1, local epoch 5, acc: 0.5399
[2024-02-20 17:00:11] [INFO] rank: 1, local epoch 6, acc: 0.5516
[2024-02-20 17:00:13] [INFO] rank: 1, local epoch 7, acc: 0.5597
[2024-02-20 17:00:14] [INFO] rank: 1, local epoch 8, acc: 0.5772
[2024-02-20 17:00:16] [INFO] rank: 1, local epoch 9, acc: 0.5784
[2024-02-20 17:00:17] [INFO] rank: 1, local epoch 10, acc: 0.5885
[2024-02-20 17:00:17] [INFO] [rank: 1, server epoch 1, client 2, local train]
[2024-02-20 17:00:19] [INFO] rank: 1, local epoch 1, acc: 0.3998
[2024-02-20 17:00:20] [INFO] rank: 1, local epoch 2, acc: 0.4504
[2024-02-20 17:00:22] [INFO] rank: 1, local epoch 3, acc: 0.5006
[2024-02-20 17:00:23] [INFO] rank: 1, local epoch 4, acc: 0.5213
[2024-02-20 17:00:24] [INFO] rank: 1, local epoch 5, acc: 0.5423
[2024-02-20 17:00:26] [INFO] rank: 1, local epoch 6, acc: 0.5443
[2024-02-20 17:00:27] [INFO] rank: 1, local epoch 7, acc: 0.5593
[2024-02-20 17:00:29] [INFO] rank: 1, local epoch 8, acc: 0.5699
[2024-02-20 17:00:30] [INFO] rank: 1, local epoch 9, acc: 0.5828
[2024-02-20 17:00:31] [INFO] rank: 1, local epoch 10, acc: 0.5865
[2024-02-20 17:00:31] [INFO] [rank: 1, server epoch 1, client 3, local train]
[2024-02-20 17:00:33] [INFO] rank: 1, local epoch 1, acc: 0.4143
[2024-02-20 17:00:34] [INFO] rank: 1, local epoch 2, acc: 0.4407
[2024-02-20 17:00:35] [INFO] rank: 1, local epoch 3, acc: 0.4921
[2024-02-20 17:00:37] [INFO] rank: 1, local epoch 4, acc: 0.5168
[2024-02-20 17:00:38] [INFO] rank: 1, local epoch 5, acc: 0.5362
[2024-02-20 17:00:40] [INFO] rank: 1, local epoch 6, acc: 0.5569
[2024-02-20 17:00:41] [INFO] rank: 1, local epoch 7, acc: 0.5589
[2024-02-20 17:00:43] [INFO] rank: 1, local epoch 8, acc: 0.5780
[2024-02-20 17:00:44] [INFO] rank: 1, local epoch 9, acc: 0.5687
[2024-02-20 17:00:45] [INFO] rank: 1, local epoch 10, acc: 0.5796
[2024-02-20 17:00:45] [INFO] [rank: 1, server epoch 1, client 4, local train]
[2024-02-20 17:00:47] [INFO] rank: 1, local epoch 1, acc: 0.3609
[2024-02-20 17:00:49] [INFO] rank: 1, local epoch 2, acc: 0.4358
[2024-02-20 17:00:50] [INFO] rank: 1, local epoch 3, acc: 0.4755
[2024-02-20 17:00:52] [INFO] rank: 1, local epoch 4, acc: 0.5091
[2024-02-20 17:00:53] [INFO] rank: 1, local epoch 5, acc: 0.5230
[2024-02-20 17:00:55] [INFO] rank: 1, local epoch 6, acc: 0.5459
[2024-02-20 17:00:56] [INFO] rank: 1, local epoch 7, acc: 0.5624
[2024-02-20 17:00:58] [INFO] rank: 1, local epoch 8, acc: 0.5642
[2024-02-20 17:01:00] [INFO] rank: 1, local epoch 9, acc: 0.5757
[2024-02-20 17:01:01] [INFO] rank: 1, local epoch 10, acc: 0.5882
[2024-02-20 17:01:01] [INFO] [rank: 1, server epoch 1, client 5, local train]
[2024-02-20 17:01:03] [INFO] rank: 1, local epoch 1, acc: 0.3687
[2024-02-20 17:01:04] [INFO] rank: 1, local epoch 2, acc: 0.4468
[2024-02-20 17:01:06] [INFO] rank: 1, local epoch 3, acc: 0.4796
[2024-02-20 17:01:07] [INFO] rank: 1, local epoch 4, acc: 0.5003
[2024-02-20 17:01:09] [INFO] rank: 1, local epoch 5, acc: 0.5224
[2024-02-20 17:01:11] [INFO] rank: 1, local epoch 6, acc: 0.5350
[2024-02-20 17:01:12] [INFO] rank: 1, local epoch 7, acc: 0.5626
[2024-02-20 17:01:14] [INFO] rank: 1, local epoch 8, acc: 0.5647
[2024-02-20 17:01:16] [INFO] rank: 1, local epoch 9, acc: 0.5728
[2024-02-20 17:01:17] [INFO] rank: 1, local epoch 10, acc: 0.5814
[2024-02-20 17:01:17] [INFO] [rank: 1, server epoch 1, client 6, local train]
[2024-02-20 17:01:19] [INFO] rank: 1, local epoch 1, acc: 0.3601
[2024-02-20 17:01:20] [INFO] rank: 1, local epoch 2, acc: 0.4538
[2024-02-20 17:01:22] [INFO] rank: 1, local epoch 3, acc: 0.4833
[2024-02-20 17:01:24] [INFO] rank: 1, local epoch 4, acc: 0.5107
[2024-02-20 17:01:25] [INFO] rank: 1, local epoch 5, acc: 0.5266
[2024-02-20 17:01:27] [INFO] rank: 1, local epoch 6, acc: 0.5407
[2024-02-20 17:01:28] [INFO] rank: 1, local epoch 7, acc: 0.5465
[2024-02-20 17:01:30] [INFO] rank: 1, local epoch 8, acc: 0.5642
[2024-02-20 17:01:32] [INFO] rank: 1, local epoch 9, acc: 0.5799
[2024-02-20 17:01:33] [INFO] rank: 1, local epoch 10, acc: 0.5869
[2024-02-20 17:01:33] [INFO] [rank: 1, server epoch 1, client 7, local train]
[2024-02-20 17:01:35] [INFO] rank: 1, local epoch 1, acc: 0.3871
[2024-02-20 17:01:37] [INFO] rank: 1, local epoch 2, acc: 0.3988
[2024-02-20 17:01:38] [INFO] rank: 1, local epoch 3, acc: 0.4377
[2024-02-20 17:01:40] [INFO] rank: 1, local epoch 4, acc: 0.4742
[2024-02-20 17:01:41] [INFO] rank: 1, local epoch 5, acc: 0.4796
[2024-02-20 17:01:43] [INFO] rank: 1, local epoch 6, acc: 0.4918
[2024-02-20 17:01:44] [INFO] rank: 1, local epoch 7, acc: 0.4982
[2024-02-20 17:01:46] [INFO] rank: 1, local epoch 8, acc: 0.4991
[2024-02-20 17:01:47] [INFO] rank: 1, local epoch 9, acc: 0.5109
[2024-02-20 17:01:49] [INFO] rank: 1, local epoch 10, acc: 0.5142
[2024-02-20 17:01:49] [INFO] [rank: 1, server epoch 1, client 8, local train]
[2024-02-20 17:01:51] [INFO] rank: 1, local epoch 1, acc: 0.3809
[2024-02-20 17:01:52] [INFO] rank: 1, local epoch 2, acc: 0.4063
[2024-02-20 17:01:54] [INFO] rank: 1, local epoch 3, acc: 0.4228
[2024-02-20 17:01:55] [INFO] rank: 1, local epoch 4, acc: 0.4650
[2024-02-20 17:01:57] [INFO] rank: 1, local epoch 5, acc: 0.4877
[2024-02-20 17:01:58] [INFO] rank: 1, local epoch 6, acc: 0.4942
[2024-02-20 17:02:00] [INFO] rank: 1, local epoch 7, acc: 0.5045
[2024-02-20 17:02:02] [INFO] rank: 1, local epoch 8, acc: 0.5001
[2024-02-20 17:02:03] [INFO] rank: 1, local epoch 9, acc: 0.5115
[2024-02-20 17:02:05] [INFO] rank: 1, local epoch 10, acc: 0.5264
[2024-02-20 17:02:05] [INFO] [rank: 1, server epoch 1, client 9, local train]
[2024-02-20 17:02:07] [INFO] rank: 1, local epoch 1, acc: 0.3804
[2024-02-20 17:02:08] [INFO] rank: 1, local epoch 2, acc: 0.4155
[2024-02-20 17:02:10] [INFO] rank: 1, local epoch 3, acc: 0.4455
[2024-02-20 17:02:11] [INFO] rank: 1, local epoch 4, acc: 0.4599
[2024-02-20 17:02:13] [INFO] rank: 1, local epoch 5, acc: 0.4785
[2024-02-20 17:02:14] [INFO] rank: 1, local epoch 6, acc: 0.4866
[2024-02-20 17:02:16] [INFO] rank: 1, local epoch 7, acc: 0.4739
[2024-02-20 17:02:17] [INFO] rank: 1, local epoch 8, acc: 0.5093
[2024-02-20 17:02:19] [INFO] rank: 1, local epoch 9, acc: 0.5104
[2024-02-20 17:02:21] [INFO] rank: 1, local epoch 10, acc: 0.5161
[2024-02-20 17:02:21] [INFO] [rank: 1, server epoch 1, client 1, distill train]
