[2024-02-20 16:59:40] [INFO] hyper_fed
      n_public_data  :  100  
          seed       : 10000 
      local_epochs   :  10   
     distill_epochs  :  10   
       batch_size    :  160  
      server_epochs  :  20   
          alpha      :  1.0  
            a        :  1.0  
       temperature   :   5   
         dataset     :cifar10
     model_structure : cnn3  
[2024-02-20 17:00:03] [INFO] [rank: 0, server epoch 1, client 1, local train]
[2024-02-20 17:00:04] [INFO] rank: 0, local epoch 1, acc: 0.4026
[2024-02-20 17:00:06] [INFO] rank: 0, local epoch 2, acc: 0.4492
[2024-02-20 17:00:07] [INFO] rank: 0, local epoch 3, acc: 0.4820
[2024-02-20 17:00:09] [INFO] rank: 0, local epoch 4, acc: 0.5205
[2024-02-20 17:00:10] [INFO] rank: 0, local epoch 5, acc: 0.5387
[2024-02-20 17:00:11] [INFO] rank: 0, local epoch 6, acc: 0.5516
[2024-02-20 17:00:13] [INFO] rank: 0, local epoch 7, acc: 0.5589
[2024-02-20 17:00:15] [INFO] rank: 0, local epoch 8, acc: 0.5759
[2024-02-20 17:00:16] [INFO] rank: 0, local epoch 9, acc: 0.5763
[2024-02-20 17:00:17] [INFO] rank: 0, local epoch 10, acc: 0.5885
[2024-02-20 17:00:17] [INFO] [rank: 0, server epoch 1, client 2, local train]
[2024-02-20 17:00:19] [INFO] rank: 0, local epoch 1, acc: 0.3994
[2024-02-20 17:00:20] [INFO] rank: 0, local epoch 2, acc: 0.4508
[2024-02-20 17:00:22] [INFO] rank: 0, local epoch 3, acc: 0.4990
[2024-02-20 17:00:23] [INFO] rank: 0, local epoch 4, acc: 0.5221
[2024-02-20 17:00:25] [INFO] rank: 0, local epoch 5, acc: 0.5431
[2024-02-20 17:00:26] [INFO] rank: 0, local epoch 6, acc: 0.5460
[2024-02-20 17:00:27] [INFO] rank: 0, local epoch 7, acc: 0.5585
[2024-02-20 17:00:29] [INFO] rank: 0, local epoch 8, acc: 0.5695
[2024-02-20 17:00:30] [INFO] rank: 0, local epoch 9, acc: 0.5812
[2024-02-20 17:00:32] [INFO] rank: 0, local epoch 10, acc: 0.5865
[2024-02-20 17:00:32] [INFO] [rank: 0, server epoch 1, client 3, local train]
[2024-02-20 17:00:33] [INFO] rank: 0, local epoch 1, acc: 0.4151
[2024-02-20 17:00:35] [INFO] rank: 0, local epoch 2, acc: 0.4407
[2024-02-20 17:00:36] [INFO] rank: 0, local epoch 3, acc: 0.4929
[2024-02-20 17:00:38] [INFO] rank: 0, local epoch 4, acc: 0.5176
[2024-02-20 17:00:39] [INFO] rank: 0, local epoch 5, acc: 0.5367
[2024-02-20 17:00:40] [INFO] rank: 0, local epoch 6, acc: 0.5573
[2024-02-20 17:00:42] [INFO] rank: 0, local epoch 7, acc: 0.5581
[2024-02-20 17:00:43] [INFO] rank: 0, local epoch 8, acc: 0.5768
[2024-02-20 17:00:45] [INFO] rank: 0, local epoch 9, acc: 0.5687
[2024-02-20 17:00:46] [INFO] rank: 0, local epoch 10, acc: 0.5788
[2024-02-20 17:00:46] [INFO] [rank: 0, server epoch 1, client 4, local train]
[2024-02-20 17:00:48] [INFO] rank: 0, local epoch 1, acc: 0.3606
[2024-02-20 17:00:49] [INFO] rank: 0, local epoch 2, acc: 0.4361
[2024-02-20 17:00:51] [INFO] rank: 0, local epoch 3, acc: 0.4755
[2024-02-20 17:00:52] [INFO] rank: 0, local epoch 4, acc: 0.5094
[2024-02-20 17:00:54] [INFO] rank: 0, local epoch 5, acc: 0.5204
[2024-02-20 17:00:55] [INFO] rank: 0, local epoch 6, acc: 0.5441
[2024-02-20 17:00:57] [INFO] rank: 0, local epoch 7, acc: 0.5611
[2024-02-20 17:00:59] [INFO] rank: 0, local epoch 8, acc: 0.5634
[2024-02-20 17:01:00] [INFO] rank: 0, local epoch 9, acc: 0.5754
[2024-02-20 17:01:02] [INFO] rank: 0, local epoch 10, acc: 0.5869
[2024-02-20 17:01:02] [INFO] [rank: 0, server epoch 1, client 5, local train]
[2024-02-20 17:01:04] [INFO] rank: 0, local epoch 1, acc: 0.3680
[2024-02-20 17:01:05] [INFO] rank: 0, local epoch 2, acc: 0.4457
[2024-02-20 17:01:07] [INFO] rank: 0, local epoch 3, acc: 0.4799
[2024-02-20 17:01:08] [INFO] rank: 0, local epoch 4, acc: 0.5037
[2024-02-20 17:01:10] [INFO] rank: 0, local epoch 5, acc: 0.5222
[2024-02-20 17:01:12] [INFO] rank: 0, local epoch 6, acc: 0.5363
[2024-02-20 17:01:13] [INFO] rank: 0, local epoch 7, acc: 0.5616
[2024-02-20 17:01:15] [INFO] rank: 0, local epoch 8, acc: 0.5660
[2024-02-20 17:01:16] [INFO] rank: 0, local epoch 9, acc: 0.5754
[2024-02-20 17:01:18] [INFO] rank: 0, local epoch 10, acc: 0.5809
[2024-02-20 17:01:18] [INFO] [rank: 0, server epoch 1, client 6, local train]
[2024-02-20 17:01:19] [INFO] rank: 0, local epoch 1, acc: 0.3606
[2024-02-20 17:01:21] [INFO] rank: 0, local epoch 2, acc: 0.4541
[2024-02-20 17:01:22] [INFO] rank: 0, local epoch 3, acc: 0.4849
[2024-02-20 17:01:24] [INFO] rank: 0, local epoch 4, acc: 0.5123
[2024-02-20 17:01:26] [INFO] rank: 0, local epoch 5, acc: 0.5237
[2024-02-20 17:01:27] [INFO] rank: 0, local epoch 6, acc: 0.5404
[2024-02-20 17:01:29] [INFO] rank: 0, local epoch 7, acc: 0.5472
[2024-02-20 17:01:30] [INFO] rank: 0, local epoch 8, acc: 0.5639
[2024-02-20 17:01:32] [INFO] rank: 0, local epoch 9, acc: 0.5785
[2024-02-20 17:01:34] [INFO] rank: 0, local epoch 10, acc: 0.5851
[2024-02-20 17:01:34] [INFO] [rank: 0, server epoch 1, client 7, local train]
[2024-02-20 17:01:36] [INFO] rank: 0, local epoch 1, acc: 0.3869
[2024-02-20 17:01:37] [INFO] rank: 0, local epoch 2, acc: 0.3988
[2024-02-20 17:01:39] [INFO] rank: 0, local epoch 3, acc: 0.4374
[2024-02-20 17:01:40] [INFO] rank: 0, local epoch 4, acc: 0.4745
[2024-02-20 17:01:42] [INFO] rank: 0, local epoch 5, acc: 0.4772
[2024-02-20 17:01:43] [INFO] rank: 0, local epoch 6, acc: 0.4939
[2024-02-20 17:01:45] [INFO] rank: 0, local epoch 7, acc: 0.4982
[2024-02-20 17:01:46] [INFO] rank: 0, local epoch 8, acc: 0.4991
[2024-02-20 17:01:48] [INFO] rank: 0, local epoch 9, acc: 0.5134
[2024-02-20 17:01:50] [INFO] rank: 0, local epoch 10, acc: 0.5166
[2024-02-20 17:01:50] [INFO] [rank: 0, server epoch 1, client 8, local train]
[2024-02-20 17:01:51] [INFO] rank: 0, local epoch 1, acc: 0.3812
[2024-02-20 17:01:53] [INFO] rank: 0, local epoch 2, acc: 0.4079
[2024-02-20 17:01:55] [INFO] rank: 0, local epoch 3, acc: 0.4242
[2024-02-20 17:01:56] [INFO] rank: 0, local epoch 4, acc: 0.4653
[2024-02-20 17:01:58] [INFO] rank: 0, local epoch 5, acc: 0.4820
[2024-02-20 17:01:59] [INFO] rank: 0, local epoch 6, acc: 0.4942
[2024-02-20 17:02:01] [INFO] rank: 0, local epoch 7, acc: 0.5042
[2024-02-20 17:02:02] [INFO] rank: 0, local epoch 8, acc: 0.5007
[2024-02-20 17:02:04] [INFO] rank: 0, local epoch 9, acc: 0.5126
[2024-02-20 17:02:05] [INFO] rank: 0, local epoch 10, acc: 0.5255
[2024-02-20 17:02:05] [INFO] [rank: 0, server epoch 1, client 9, local train]
[2024-02-20 17:02:07] [INFO] rank: 0, local epoch 1, acc: 0.3790
[2024-02-20 17:02:09] [INFO] rank: 0, local epoch 2, acc: 0.4163
[2024-02-20 17:02:10] [INFO] rank: 0, local epoch 3, acc: 0.4463
[2024-02-20 17:02:12] [INFO] rank: 0, local epoch 4, acc: 0.4607
[2024-02-20 17:02:13] [INFO] rank: 0, local epoch 5, acc: 0.4804
[2024-02-20 17:02:15] [INFO] rank: 0, local epoch 6, acc: 0.4885
[2024-02-20 17:02:16] [INFO] rank: 0, local epoch 7, acc: 0.4726
[2024-02-20 17:02:18] [INFO] rank: 0, local epoch 8, acc: 0.5091
[2024-02-20 17:02:20] [INFO] rank: 0, local epoch 9, acc: 0.5099
[2024-02-20 17:02:21] [INFO] rank: 0, local epoch 10, acc: 0.5180
[2024-02-20 17:02:21] [INFO] [rank: 0, server epoch 1, client 1, distill train]
[2024-02-20 17:02:22] [INFO] rank: 0, distill epoch 1, acc: 0.5788
[2024-02-20 17:02:23] [INFO] rank: 0, distill epoch 2, acc: 0.5788
[2024-02-20 17:02:24] [INFO] rank: 0, distill epoch 3, acc: 0.5788
[2024-02-20 17:02:25] [INFO] rank: 0, distill epoch 4, acc: 0.5788
[2024-02-20 17:02:27] [INFO] rank: 0, distill epoch 5, acc: 0.5788
[2024-02-20 17:02:28] [INFO] rank: 0, distill epoch 6, acc: 0.5788
[2024-02-20 17:02:29] [INFO] rank: 0, distill epoch 7, acc: 0.5788
[2024-02-20 17:02:30] [INFO] rank: 0, distill epoch 8, acc: 0.5788
[2024-02-20 17:02:31] [INFO] rank: 0, distill epoch 9, acc: 0.5788
[2024-02-20 17:02:32] [INFO] rank: 0, distill epoch 10, acc: 0.5788
[2024-02-20 17:02:32] [INFO] [rank: 0, server epoch 1, client 2, distill train]
[2024-02-20 17:02:33] [INFO] rank: 0, distill epoch 1, acc: 0.5788
[2024-02-20 17:02:34] [INFO] rank: 0, distill epoch 2, acc: 0.5788
[2024-02-20 17:02:35] [INFO] rank: 0, distill epoch 3, acc: 0.5788
[2024-02-20 17:02:36] [INFO] rank: 0, distill epoch 4, acc: 0.5788
[2024-02-20 17:02:37] [INFO] rank: 0, distill epoch 5, acc: 0.5788
[2024-02-20 17:02:38] [INFO] rank: 0, distill epoch 6, acc: 0.5788
[2024-02-20 17:02:39] [INFO] rank: 0, distill epoch 7, acc: 0.5788
[2024-02-20 17:02:40] [INFO] rank: 0, distill epoch 8, acc: 0.5788
[2024-02-20 17:02:41] [INFO] rank: 0, distill epoch 9, acc: 0.5788
[2024-02-20 17:02:42] [INFO] rank: 0, distill epoch 10, acc: 0.5788
[2024-02-20 17:02:42] [INFO] [rank: 0, server epoch 1, client 3, distill train]
[2024-02-20 17:02:43] [INFO] rank: 0, distill epoch 1, acc: 0.5938
[2024-02-20 17:02:44] [INFO] rank: 0, distill epoch 2, acc: 0.5707
[2024-02-20 17:02:46] [INFO] rank: 0, distill epoch 3, acc: 0.5290
